0>2>6>14>29>60>121>243>488 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_scls_mt_classes_cos<0.0146618,ctr_real_36h<0.0930672,ctr_real_thirty<0.117056,bh_cls_mt_classes_cos<0.00164484,clk_real_16h<133.0 -0.0011128
0>2>6>13>28>58>117>235>472 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_lcf_score0<3.4859,bh_scls_mt_classes_cos<0.0178082,cp_ulevel_3<2.0,bh_lcf_score0<4.1858,ctr_real_thirty<0.128079 -0.00135193
0>2>6>13>28>57>116>234>469 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_lcf_score0<3.4859,bh_scls_mt_classes_cos<0.0178082,ctr_real_48h<0.0936607,ctr_real_thirty<0.140993,bh_lcf_score0<4.1858 -0.001575
0>2>6>14>30>62>126>253>508 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_scls_mt_classes_cos<0.0146618,cp_ulevel_3<2.0,bh_scls_mt_classes_cos<0.793035,bh_os_android<2.0,clk_real_thirty<81.0 -0.00192251
0>2>6>13>28>58>117>235>471 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_lcf_score0<3.4859,bh_scls_mt_classes_cos<0.0178082,cp_ulevel_3<2.0,bh_lcf_score0<4.1858,ctr_real_thirty<0.128079 -0.00204499
0>2>6>13>28>57>115>232>466 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_lcf_score0<3.4859,bh_scls_mt_classes_cos<0.0178082,ctr_real_48h<0.0936607,bh_cls_mt_classes_cos<0.00593997,bh_cls_mt_classes_cos<0.165108 -0.00213326
0>2>6>13>27>56>114>229>460 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_lcf_score0<3.4859,bh_scls_mt_classes_cos<0.0178082,cp_ulevel_3<2.0,bh_scls_mt_classes_cos<0.793035,bh_conn_type_2<2.0 -0.00215317
0>2>6>13>28>58>118>238>477 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_lcf_score0<3.4859,bh_scls_mt_classes_cos<0.0178082,cp_ulevel_3<2.0,bh_scls_mt_classes_cos<0.793035,bh_os_android<2.0 -0.00231105
0>2>6>13>28>57>116>233>468 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<4.3199,bh_lcf_score0<3.4859,bh_scls_mt_classes_cos<0.0178082,ctr_real_48h<0.0936607,ctr_real_thirty<0.140993,bh_cls_mt_classes_cos<0.00164484 -0.00246845
0>2>5>12>26>54>110>221>444 bh_lcf_score0<1.6977,bh_lcf_score0<3.0004,bh_lcf_score0<2.3013,bh_scls_mt_classes_cos<0.028644,cp_ulevel_3<2.0,bh_lcf_score0<2.6165,bh_scls_mt_classes_cos<0.793035,ctr_real_sixty<0.139659 -0.00261269
